	Day	UseForFinalData	Well	Sample	PEG	Sex	Mouse_num	Osmolality	Species	Primer_Set	Output_Conc(copies/ul)	Accepted_droplets	Positive_dropletes	Rxn_Well_volume_ul	DropletGenerator_volume	template_input_ul	Diluted_conc(copies/ul)	dilution	Undiluted_Copies/ul	Rel_abund_sample_ddPCR	Total_sample_absolute_load_ul	Total_sample_absolute_load_ml	Total_CFU_ml
104	2024-05-10	y	G10	5_M3	5.0	M	3	503	Bacteroides ovatus	2	206.048980712891			22	20	2.0	113.32693939209	1000	113326.93939209				
105	2024-05-10	y	H10	5_F1	5.0	F	1	488	Bacteroides ovatus	2	1755.30114746094			22	20	2.0	965.415631103515	1000	965415.631103516				
106	2024-05-10	y	A11	5_F2	5.0	F	2	461	Bacteroides ovatus	2	630.378051757812			22	20	2.0	346.707928466797	1000	346707.928466797				
107	2024-05-10	y	B11	5_F3	5.0	F	3	441	Bacteroides ovatus	2	795.678100585938			22	20	2.0	437.622955322266	1000	437622.955322266				
108	2024-05-10	y	C11	10_M1	10.0	M	1	573	Bacteroides ovatus	2	11227.73828125			22	20	2.0	6175.2560546875	100	617525.60546875				
109	2024-05-10	y	D11	10_M2	10.0	M	2	651	Bacteroides ovatus	2	1022.79992675781			22	20	2.0	562.539959716797	100	56253.9959716797				
110	2024-05-10	y	E11	10_M3	10.0	M	3	641	Bacteroides ovatus	2	2203.86303710938			22	20	2.0	1212.12467041016	100	121212.467041016				
111	2024-05-10	y	F11	10_F1	10.0	F	1	722	Bacteroides ovatus	2	2334.27587890625			22	20	2.0	1283.85173339844	100	128385.173339844				
112	2024-05-10	y	G11	10_F2	10.0	F	2	697	Bacteroides ovatus	2	366.941528320312			22	20	2.0	201.817840576172	100	20181.7840576172				
113	2024-05-10	y	H11	10_F3	10.0	F	3	712	Bacteroides ovatus	2	77.5851058959961			22	20	2.0	42.6718082427978	100	4267.18082427979				
114	2024-05-10	y	A12	15_M1	15.0	M	1	733	Bacteroides ovatus	2	846.584594726562			22	20	2.0	465.621527099609	100	46562.1527099609				
115	2024-05-10	y	B12	15_M2	15.0	M	2	727	Bacteroides ovatus	2	159.290542602539			22	20	2.0	87.6097984313965	100	8760.97984313965				
116	2024-05-10	y	C12	15_M3	15.0	M	3	673	Bacteroides ovatus	2	1194.41821289062			22	20	2.0	656.930017089844	100	65693.0017089844				
117	2024-05-10	y	D12	15_F1	15.0	F	1	788	Bacteroides ovatus	2	18.6839561462402			22	20	2.0	10.2761758804321	100	1027.61758804321				
118	2024-05-10	y	E12	15_F2	15.0	F	2	784	Bacteroides ovatus	2	47.6028785705566			22	20	2.0	26.1815832138062	100	2618.15832138062				
119	2024-05-10	y	F12	15_F3	15.0	F	3	860	Bacteroides ovatus	2	58.2076110839844			22	20	2.0	32.0141860961914	100	3201.41860961914				
120	2024-02-22	y	C1	0_M1	0.0	M	1	455	Clostridium sporogenes	1	14.0854768753052	18230.0	203.0	22	20	6.0	2.58233742713928	1000	2582.33742713928	0.134659741487336			
121	2024-02-22	y	D1	0_M1	0.0	M	1	455	Collinsella stercoris	1	102.653091430664	17622.0	1381.0	22	20	2.0	56.4592002868652	1000	56459.2002868652	2.94414712628527			
122	2024-02-22	y	E1	0_M1	0.0	M	1	455	Escherichia coli	1	41.435417175293	19164.0	621.0	22	20	2.0	22.7894794464111	1000	22789.4794464111	1.18839055602596			
123	2024-02-22	y	F1	0_M1	0.0	M	1	455	Enterococcus faecalis	1	450.563659667969	16332.0	4917.0	22	20	2.0	247.810012817383	1000	247810.012817383	12.9224135905933			
124	2024-02-22	y	G1	0_M1	0.0	M	1	455	Eubacterium rectale	1	0.0	19687.0	0.0	22	20	2.0	0.0	1000	0.0	0.0			
125	2024-02-22	y	H1	0_M1	0.0	M	1	455	Faecalibacterium prausnitzii	1	326.838043212891	17778.0	4068.0	22	20	2.0	179.76092376709	1000	179760.92376709	9.37389485572269			
126	2024-02-22	y	B2	15_F3	15.0	F	3	860	Clostridium sporogenes	1	210.07307434082	17795.0	2737.0	22	20	2.0	115.540190887451	100	11554.0190887451	5.29879788249667			
127	2024-02-22	y	F2	15_F3	15.0	F	3	860	Escherichia coli	1	182.352645874023	17421.0	2351.0	22	20	2.0	100.293955230713	100	10029.3955230713	4.59958905660278			
128	2024-02-22	y	G2	15_F3	15.0	F	3	860	Enterococcus faecalis	1	1045.01281738281	15756.0	8891.0	22	20	2.0	574.757049560547	100	57475.7049560547	26.3589787568218			
129	2024-02-22	y	H2	15_F3	15.0	F	3	860	Eubacterium rectale	1	0.0	19623.0	0.0	22	20	2.0	0.0	100	0.0	0.0			
130	2024-02-22	y	B3	15_F3	15.0	F	3	860	Collinsella stercoris	1	412.899261474609	18058.0	5053.0	22	20	2.0	227.094593811035	100	22709.4593811035	10.414803226217			
131	2024-02-22	y	C3	15_F3	15.0	F	3	860	Faecalibacterium prausnitzii	1	0.0	18970.0	0.0	22	20	2.0	0.0	100	0.0	0.0			
132	2024-02-28	y	F2	2_F1	2.5	F	1	402	Clostridium sporogenes	1	58.4357757568359	19474.0	884.0	22	20	2.0	32.1396766662598	1000	32139.6766662598	1.59091577305023			
133	2024-02-28	y	G2	2_F1	2.5	F	1	402	Collinsella stercoris	1	123.766777038574	19710.0	1847.0	22	20	2.0	68.0717273712158	1000	68071.7273712158	3.36955427082227			
134	2024-02-28	y	H2	2_F1	2.5	F	1	402	Escherichia coli	1	173.653182983398	19279.0	2486.0	22	20	2.0	95.5092506408691	1000	95509.2506408691	4.72771319060223			
135	2024-02-28	y	A3	2_F1	2.5	F	1	402	Enterococcus faecalis	1	395.440856933594	18261.0	4926.0	22	20	2.0	217.492471313477	1000	217492.471313477	10.7658893624007			
136	2024-02-28	y	B3	2_F1	2.5	F	1	402	Eubacterium rectale	1	270.947082519531	18113.0	3510.0	22	20	2.0	149.020895385742	1000	149020.895385742	7.37654256590989			
137	2024-02-28	y	C3	2_F1	2.5	F	1	402	Faecalibacterium prausnitzii	1	0.0	20151.0	0.0	22	20	2.0	0.0	1000	0.0	0.0			
138	2024-02-28	y	H3	5_M1	5.0	M	1	498	Clostridium sporogenes	1	21.4831638336182	19133.0	324.0	22	20	2.0	11.81574010849	1000	11815.74010849	0.56494707130224			
139	2024-02-28	y	A4	5_M1	5.0	M	1	498	Collinsella stercoris	1	21.6846027374268	20478.0	350.0	22	20	2.0	11.9265315055847	1000	11926.5315055847	0.570244350587282			
140	2024-02-28	y	B4	5_M1	5.0	M	1	498	Escherichia coli	1	61.833553314209	19867.0	953.0	22	20	2.0	34.0084543228149	1000	34008.4543228149	1.62604936235735			
